exec_id,symbol,datetime,action,quantity,price,commission,realized_pnl,currency
00025b47.69bb76f9.01.01,WMT,2026-03-19T13:30:21+00:00,BOT,88.0,121.9,1.0,402.7828,USD
00025b47.69c2144d.01.01,WMT,2026-03-24T13:30:10+00:00,BOT,83.0,120.92,1.0,-18.6162,USD
00025b47.69bcc7e1.01.01,WMT,2026-03-20T13:30:20+00:00,SLD,83.0,120.72,1.016185,0.0,USD
00025b47.69c360bd.01.01,WMT,2026-03-25T13:30:04+00:00,SLD,81.0,123.02,1.015795,0.0,USD
0000dc8f.6a0afae1.01.01,WMT,2026-03-27T13:35:58+00:00,BOT,81.0,123.05,1.0,-4.4458,USD
