exec_id,symbol,datetime,action,quantity,price,commission,realized_pnl,currency
00025b46.69c4d014.01.01,TSLA,2026-03-26T13:30:12+00:00,SLD,25.0,382.33,1.004875,0.0,USD
0000dc8f.6a05c8d0.01.01,TSLA,2026-03-25T13:30:08+00:00,BOT,25.0,391.38,1.0,194.7451,USD
