exec_id,symbol,datetime,action,quantity,price,commission,realized_pnl,currency
00025b45.69c442b4.01.01,NEE,2026-03-20T13:30:19+00:00,BOT,108.0,92.95,1.0,25.6589,USD
00025b45.69c5c381.01.01,NEE,2026-03-23T13:30:13+00:00,SLD,108.0,90.25,1.02106,0.0,USD
0000dc8f.6a02599d.01.01,NEE,2026-03-23T13:30:16+00:00,SLD,4.0,90.25,0.00078,0.0,USD
00025b45.69cb4307.01.01,NEE,2026-03-26T13:30:19+00:00,BOT,9.0,91.14,1.0,0.0,USD
00025b45.69cb4308.01.01,NEE,2026-03-26T13:30:19+00:00,BOT,100.0,91.14,0.0,0.0,USD
00025b45.69c95ab7.01.01,NEE,2026-03-25T13:30:14+00:00,BOT,12.0,92.58,1.0,-29.069479,USD
00025b45.69c95ab8.01.01,NEE,2026-03-25T13:30:14+00:00,BOT,100.0,92.58,0.0,-233.912321,USD
00025b45.69cd2d0e.01.01,NEE,2026-03-27T13:30:16+00:00,SLD,100.0,91.11,1.0195,-4.936931,USD
00025b45.69cd2e0c.01.01,NEE,2026-03-27T13:30:19+00:00,SLD,9.0,90.78,0.001755,-3.324324,USD
