exec_id,symbol,datetime,action,quantity,price,commission,realized_pnl,currency
00025b45.69c29af3.01.01,NVDA,2026-03-19T13:30:09+00:00,SLD,54.0,177.68,1.01053,-294.15053,USD
00025b45.69c44058.01.01,NVDA,2026-03-20T13:30:08+00:00,BOT,56.0,177.34,1.0,0.0,USD
00025b45.69c54329.01.01,NVDA,2026-03-20T19:36:38+00:00,SLD,56.0,172.01,1.01092,-300.49092,USD
00025b45.69c5cb77.01.01,NVDA,2026-03-23T13:30:30+00:00,SLD,58.0,176.06,1.01131,0.0,USD
00025b45.69cb3da4.01.01,NVDA,2026-03-26T13:30:18+00:00,BOT,55.0,176.03,1.0,0.0,USD
00025b45.69c9574a.01.01,NVDA,2026-03-25T13:30:05+00:00,BOT,58.0,177.91,1.0,-109.3113,USD
