exec_id,symbol,datetime,action,quantity,price,commission,realized_pnl,currency
00025b47.69bb7942.01.01,XOM,2026-03-19T13:33:24+00:00,SLD,63.0,158.19,1.012285,0.0,USD
00025b47.69bb91fb.01.01,XOM,2026-03-19T15:46:39+00:00,BOT,63.0,158.57,1.0,-25.952285,USD
0000dc8f.6a030271.01.01,XOM,2026-03-24T13:31:35+00:00,BOT,63.0,163.29,1.0,-217.4723,USD
00025b47.69bcca31.01.01,XOM,2026-03-20T13:33:10+00:00,SLD,63.0,159.87,1.012285,0.0,USD
0000dc8f.6a05de7e.01.01,XOM,2026-03-25T13:33:53+00:00,SLD,61.0,164.0,1.011895,0.0,USD
0000dc8f.6a0af11a.01.01,XOM,2026-03-27T13:33:37+00:00,BOT,61.0,165.67,1.0,-103.8819,USD
