exec_id,symbol,datetime,action,quantity,price,commission,realized_pnl,currency
00025b45.69c2a19d.01.01,LLY,2026-03-19T13:30:24+00:00,BOT,40.0,913.99,1.0,0.0,USD
0000dc8f.6a01375a.01.01,LLY,2026-03-19T13:30:31+00:00,BOT,60.0,913.99,0.0,0.0,USD
00025b45.69c78eab.01.01,LLY,2026-03-24T13:30:35+00:00,SLD,114.0,902.2,1.02223,-1361.22223,USD
0000dc8f.6a026194.01.01,LLY,2026-03-23T13:31:44+00:00,BOT,14.0,915.0,1.0,0.0,USD
0000dc8f.6a05d027.01.01,LLY,2026-03-25T13:31:04+00:00,BOT,11.0,920.0,1.0,0.0,USD
0000dc8f.6a0d5859.01.01,LLY,2026-03-27T19:41:28+00:00,SLD,11.0,879.54,1.002145,-447.062145,USD
