exec_id,symbol,datetime,action,quantity,price,commission,realized_pnl,currency
0000dc8f.6a013a48.01.01,NEM,2026-03-19T13:30:53+00:00,BOT,90.0,97.43,1.0,1312.8825,USD
00025b45.69c78e62.01.01,NEM,2026-03-24T13:30:34+00:00,SLD,100.0,97.41,1.0195,0.0,USD
00025b45.69c78e63.01.01,NEM,2026-03-24T13:30:35+00:00,SLD,3.0,97.41,0.000585,0.0,USD
00025b45.69c442df.01.01,NEM,2026-03-20T13:30:20+00:00,SLD,100.0,99.2,1.0195,0.0,USD
00025b45.69c5c2b4.01.01,NEM,2026-03-23T13:30:11+00:00,BOT,100.0,98.03,1.0,114.9805,USD
00025b45.69cb42ac.01.01,NEM,2026-03-26T13:30:15+00:00,BOT,98.0,99.25,1.0,0.0,USD
00025b45.69c959da.01.01,NEM,2026-03-25T13:30:11+00:00,BOT,103.0,103.63,1.0,-642.6801,USD
00025b45.69cd2c2e.01.01,NEM,2026-03-27T13:30:14+00:00,SLD,98.0,99.63,1.01911,35.22089,USD
