exec_id,symbol,datetime,action,quantity,price,commission,realized_pnl,currency
00025b44.69c26802.01.01,CAT,2026-03-24T13:30:39+00:00,SLD,14.0,694.75,1.00273,-99.72273,USD
00025b44.69bd7909.01.01,CAT,2026-03-20T13:30:20+00:00,BOT,14.0,688.98,1.0,236.2773,USD
00025b44.69c0e73b.01.01,CAT,2026-03-23T13:30:09+00:00,BOT,14.0,701.73,1.0,0.0,USD
00025b44.69c3dd33.01.01,CAT,2026-03-25T13:30:08+00:00,SLD,13.0,727.82,1.002535,0.0,USD
00025b44.69c6a8ea.01.01,CAT,2026-03-27T13:30:04+00:00,BOT,13.0,698.0,1.0,385.6575,USD
